nome;largura;altura;posicaoX;posicaoY;grau-textura;entropia;segundo-momento-ang;correlacao;energia;media-i;media-j;variancia-i;variancia-j;desvio-padrao-i;desvio-padrao-j;contraste;homogeneidade;media-tons-cinza;
97;54;41;497;472;225;0.41602580039392;0.5189471342114631;0.7840708927792639;0.7203798541127195;2.275;2.2641509433962264;0.22390330188679244;0.21890352438590244;0.4731842155934541;0.46787126903230813;0.09575471698113207;0.9521226415094339;86.0;
97;54;41;497;472;270;0.39859029028857135;0.5330096879286693;0.8197390142638545;0.7300751248526889;2.2726851851851855;2.265277777777778;0.22240204903978053;0.2189795524691358;0.47159521736313287;0.4679525109123102;0.07962962962962963;0.9601851851851853;86.0;
97;54;41;497;472;315;0.41538303103148344;0.5196711463154146;0.7859406691360828;0.7208822000267551;2.2712264150943398;2.267924528301887;0.22219094873620504;0.2206692773228907;0.47137134908287015;0.46975448621901494;0.09481132075471697;0.9525943396226415;86.0;
97;18;15;473;429;0;0.5580310667698012;0.2993771626297578;0.434131749019155;0.5471536919639287;2.541176470588235;2.5176470588235293;0.2483044982698962;0.2496885813148789;0.4983016137540558;0.49968848427283064;0.2823529411764706;0.8588235294117648;97.0;
97;18;15;473;429;45;0.5881039190475867;0.2661535202316221;0.24185791793548495;0.5159006883418766;2.5294117647058822;2.5210084033613445;0.2491349480968858;0.24955864698820707;0.49913419848462176;0.4995584520235916;0.37815126050420167;0.8109243697478992;97.0;
97;18;15;473;429;90;0.5612269203728577;0.29607583774250446;0.41877709509267025;0.5441285121572885;2.5238095238095237;2.5357142857142856;0.2494331065759637;0.24872448979591838;0.4994327848429293;0.4987228587060336;0.28968253968253965;0.8551587301587302;97.0;
97;18;15;473;429;135;0.5865358066584373;0.2676717745921899;0.2522959431147038;0.5173700557552494;2.504201680672269;2.5420168067226894;0.24998234587952833;0.2482345879528282;0.4999823455678494;0.4982314602198743;0.3739495798319328;0.8130252100840337;97.0;
97;18;15;473;429;180;0.5580310667698012;0.2993771626297578;0.434131749019155;0.5471536919639287;2.5176470588235293;2.541176470588235;0.24968858131487887;0.2483044982698962;0.4996884842728306;0.4983016137540558;0.2823529411764706;0.8588235294117648;97.0;
97;18;15;473;429;225;0.5881039190475867;0.2661535202316221;0.24185791793548506;0.5159006883418766;2.5210084033613445;2.5294117647058822;0.24955864698820704;0.2491349480968858;0.49955845202359156;0.49913419848462176;0.37815126050420167;0.8109243697478992;97.0;
97;18;15;473;429;270;0.5612269203728578;0.29607583774250446;0.41877709509267025;0.5441285121572885;2.5357142857142856;2.5238095238095237;0.24872448979591838;0.2494331065759637;0.4987228587060336;0.4994327848429293;0.28968253968253965;0.8551587301587302;97.0;
97;18;15;473;429;315;0.5865358066584373;0.2676717745921898;0.25229594311470394;0.5173700557552493;2.542016806722689;2.504201680672269;0.2482345879528282;0.24998234587952828;0.4982314602198743;0.4999823455678493;0.3739495798319328;0.8130252100840336;97.0;
97;29;17;1005;379;0;0.3358544480818437;0.6232875503142433;0.6330493860501815;0.7894856238806653;2.8256302521008405;2.842436974789916;0.14816661958901206;0.13693859896899938;0.3849241738174053;0.3700521570927528;0.1050420168067227;0.9474789915966386;103.0;
97;29;17;1005;379;45;0.3496644790744086;0.6110391422193878;0.5362487383386767;0.7816899271574298;2.8325892857142856;2.8459821428571432;0.14384865274234693;0.1347606425382653;0.37927384927298496;0.36709759266204034;0.1294642857142857;0.9352678571428571;103.0;
97;29;17;1005;379;90;0.3401915775515343;0.620345942330559;0.6034511164200725;0.7876204303664037;2.8383620689655173;2.834051724137931;0.13982145511296076;0.14271979042806182;0.37392707191772134;0.37778272912887617;0.11206896551724138;0.9439655172413793;103.0;
97;29;17;1005;379;135;0.3625037760786421;0.595085299744898;0.46789044342768543;0.7714177206578146;2.8482142857142856;2.828125;0.1332110969387755;0.14679827008928573;0.36498095421374455;0.38314262369160357;0.1495535714285714;0.9252232142857142;103.0;
97;29;17;1005;379;180;0.3358544480818437;0.6232875503142433;0.6330493860501814;0.7894856238806653;2.842436974789916;2.8256302521008405;0.13693859896899938;0.1481666195890121;0.3700521570927528;0.38492417381740535;0.1050420168067227;0.9474789915966386;103.0;
97;29;17;1005;379;225;0.3496644790744087;0.6110391422193878;0.5362487383386766;0.7816899271574298;2.845982142857143;2.8325892857142856;0.1347606425382653;0.14384865274234696;0.36709759266204034;0.379273849272985;0.1294642857142857;0.9352678571428571;103.0;
97;29;17;1005;379;270;0.3401915775515343;0.620345942330559;0.6034511164200724;0.7876204303664037;2.834051724137931;2.8383620689655173;0.14271979042806185;0.13982145511296076;0.3777827291288762;0.37392707191772134;0.11206896551724138;0.9439655172413793;103.0;
97;29;17;1005;379;315;0.3625037760786421;0.595085299744898;0.46789044342768554;0.7714177206578146;2.828125;2.8482142857142856;0.14679827008928573;0.1332110969387755;0.38314262369160357;0.36498095421374455;0.1495535714285714;0.9252232142857142;103.0;
97;14;17;567;291;0;0.6739659166596232;0.2560758379230565;0.8446108205196354;0.506039364005466;2.1266968325791855;2.2126696832579187;0.5631334329763928;0.5203824655514834;0.7504221698326835;0.7213753984933804;0.1764705882352941;0.9117647058823528;84.0;
97;14;17;567;291;45;0.7269302956506731;0.21588387573964496;0.7762312902817918;0.4646330549365219;2.0721153846153846;2.2355769230769234;0.5476839866863905;0.5358496671597633;0.7400567455853575;0.7320175320030001;0.2692307692307692;0.8653846153846154;84.0;
